rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
222,force,nf,feminine,force,parle-moi de ces forces surnaturelles,talk to me of these supernatural forces,fɔʀs
223,situation,nf,feminine,situation,"dans des situations aussi difficiles, il faut trancher","in such difficult situations, drastic measures must be taken",sitɥasjɔ͂
224,offrir,v,,to offer,"alors, je vous offre la vie éternelle",so I offer you eternal life,ɔfʀiʀ
225,près,"adv,prep",,"near, nearby, close by",il y a un siège vide près de vous,there’s an empty seat near you,pʀɛ
226,choisir,v,,to choose,c’est maintenant le moment de choisir,now is the moment to choose,ʃwaziʀ
227,national,nadj,,national,il y avait l’intérêt national français,the national interests of the French were involved,"nasjɔnal, o"
228,projet,nm,masculine,project,le gouvernement ne financerait aucun projet touchant cette pratique,the government would not fund any project involving this practice,pʀɔʒɛ
229,ni,conj,,nor,"je ne mange pas de viandes, ni de produits laitiers",I don’t eat meat or dairy products,ni
230,puis,adv,,"then, so","elle a tenté de me tuer, puis elle m’a chassée","she tried to kill me, then she chased me",pɥi
231,toucher,"nm,v",masculine,to touch,il lui touche l’épaule,he touches her shoulder,tuʃe
232,train,nm,masculine,train,je pris le train pour un aller-retour vers la mer,I took the train on a round-trip outing to the sea,tʀɛ͂
233,aujourd’hui,adv,,today,"je peux, aujourd’hui encore, en réciter",even today I can still recite some of them,oʒuʀdɥi
234,comment,"adv,conj,intj,nmi",masculine,how,voyons un peu comment les choses se sont passées,let’s take a look at how things unfolded,kɔmɑ͂
235,surtout,"adv,nm",masculine,"especially, above all",j’ai surtout besoin d’argent,what I need above all is money,syʀtu
236,gens,nmpl,masculine-plural,people,des gens sont venus me voir,people came to see me,ʒɑ͂
237,propre,nadj(f),masculine,"clean, proper","la pétasse était propre, mec","the woman was clean, man",pʀɔpʀ
238,grâce,nf,feminine,"thanks, grace, favour",je ne vous demande aucune grâce,I’m not asking you for any favors,gʀɑs
239,idée,nf,feminine,idea,que pensez-vous de cette idée?,what do you think of this idea?,ide
240,selon,prep,,according to,tout est prêt selon vos désirs,everything’s ready according to your wishes,s(ə)lɔ͂
241,région,nf,feminine,region,la région a connu une cinquantaine de massacres,the region has experienced some fifty massacres,ʀeʒjɔ͂
242,aimer,v,,"to like, love",tu sais que je t’aime,you know I love you,eme
243,sens,nm(pl),masculine,"sense, meaning",il manquait un sens à donner à ma vie,there was a lack of meaning in my life,sɑ͂s
244,retrouver,v,,"to find, recall",je te retrouve dehors,I’ll find you outside,ʀ(ə)tʀuve
245,semaine,nf,feminine,week,ma pièce se jouait cette semaine,my play was showing that week,s(ə)mɛn
246,également,adv,,"also, too, as well, equally",reculer est également hors de question,backing down is also not an option,egalmɑ͂
247,ci,"adv,pro",,"this one, here","et celui-ci? oui, il est vraiment super","and this one here? yes, he’s really great",si
248,façon,nf,feminine,"way, manner","c’est une façon de voir, je suppose","it’s a way of looking at it, I guess",fasɔ͂
249,nombre,nm,masculine,number,il existe un nombre infini de réponses possibles,there are an infinite number of possible answers,nɔ͂bʀ
250,perdre,v,,to lose,"vous avez perdu votre mère, mademoiselle?","did you lose your mother, miss?",pɛʀdʀ
251,français,nadj(pl),masculine,French,il faut leur parler en français,you need to speak to them in French,fʀɑ͂sɛ
252,expliquer,v,,to explain,"je vous en prie, expliquez-moi tout","I beg you, explain everything to me",ɛksplike
253,quatre,"det,nmi",,four,nous sommes quatre étudiants dans la maison,we’re four students sharing a house,katʀ(ə)
254,compte,nm,masculine,"account, count",cette ville a eu son compte de désastres,this city has had its fair share of disasters,kɔ͂t
255,considérer,v,,to consider,la présidence considère cela comme une priorité majeure,the presidency considers that a major priority,kɔ͂sideʀe
256,lorsque,conj,,when,que se passe-t-il lorsque nous manquons de sucre?,what happens when we lack sugar?,lɔʀsk(ə)
257,ouvrir,v,,to open,"s’il vous plaît, ouvrez les yeux",please open your eyes,uvʀiʀ
258,gagner,v,,"to win, earn",que le meilleur gagne,may the best man win,gaɲe
259,exemple,nm,masculine,example,ces exemples sont encore bien pauvres,these examples are still very weak,ɛgzɑ͂pl
260,ville,nf,feminine,city,nous étions de la même ville,we were from the same city,vil
261,économique,nadj(f),,"economic, economical",le rétablissement économique de l’Asie est plus rapide que prévu,Asian economic recovery is faster than projected,ekɔnɔmik
262,mesure,nf,feminine,measure,écrire me libère dans une certaine mesure,writing liberates me to a certain extent,m(ə)zyʀ
263,histoire,nf,feminine,"history, story",on a raconté d’amusantes histoires,we told funny stories,istwaʀ
264,haut,"adv,nadj",masculine,"top, high",voilà qui vous lancera dans la haute société,that’s who will launch you into high society,ˊo
265,ensuite,adv,,next,ensuite il va au restaurant,then he’s going to the restaurant,ɑ͂sɥit
266,guerre,nf,feminine,war,"c’est nul, la guerre!",war is nothing!,gɛʀ
267,loi,nf,feminine,law,je vais voter contre le projet de loi,I’m going to vote against the bill,lwa
268,président,nm,masculine,president,j’ai rencontré le président des Etats-Unis,I met the president of the U.S.,"pʀezidɑ͂, ɑ͂t"
269,exister,v,,to exist,le risque n’existe plus,there is no more risk,ɛgziste
270,sûr,adj,,sure,"tu m’attends? bien sûr, poupée","will you wait for me? of course, doll",syʀ
271,refuser,v,,to refuse,attendez . . . vous refusez d’obéir?,wait . . . you refuse to obey?,ʀ(ə)fyze
272,plutôt,adv,,rather,ce jet vole plutôt bas,this jet is flying rather low,plyto
273,bureau,nm,masculine,"office, desk",il veut vous voir dans son bureau immédiate- ment,he wants to see you in his office immediately,byʀo
